Rank	Uinversity	Country	Citations
605	Waseda University / 早稲田大学	JAPAN	64747
606	Tehran University of Medical Sciences	IRAN	64680
607	Universidad de Oviedo	SPAIN	64668
608	National Taiwan Normal University	TAIWAN	64609
609	Aston University	UNITED KINGDOM	64378
610	Babson College	USA	64344
611	Brighton and Sussex Medical School	UNITED KINGDOM	64212
612	Australian Catholic University	AUSTRALIA	63808
613	Universität Münster	GERMANY	63595
614	Eurasian National University L N Gumilev / Л Н Гумилев атындағы Еуразия ұлттық университеті	KAZAKHSTAN	63542
615	University of North Carolina Charlotte	USA	63259
616	Indian Institute of Technology Kharagpur	INDIA	63009
617	Universidade de Coimbra	PORTUGAL	62994
618	Abo Akademi University	FINLAND	62902
619	Goldsmiths University of London	UNITED KINGDOM	62864
620	Central Queensland University CQUniversity	AUSTRALIA	62813
621	Tamkang University	TAIWAN	62592
622	Université d'Angers Université Pays de la Loire	FRANCE	62548
623	Università degli Studi di Salerno	ITALY	61921
624	Universidad Miguel Hernández	SPAIN	61884
625	Università degli Studi Roma Tre	ITALY	61846
626	École Supérieure de Physique et de Chimie Industrielles de la Ville de Paris ParisTech	FRANCE	61800
627	Université de Nantes	FRANCE	61144
628	Medizinische Universität Innsbruck	AUSTRIA	60958
629	Université de Strasbourg	FRANCE	60845
630	University of Crete	GREECE	60836
631	Miami University of Ohio	USA	60803
632	Mississippi State University	USA	60668
633	Università degli Studi dell'Insubria Varese e Como	ITALY	60329
634	Aberystwyth University / Prifysgol Aberystwyth	UNITED KINGDOM	60128
635	Texas State University	USA	60090
636	Sogang University / 서강대학교	SOUTH KOREA	59857
637	Tokyo Medical and Dental University / 東京医科歯科大学	JAPAN	59817
638	Philipps Universität Marburg	GERMANY	59604
639	Universität Augsburg	GERMANY	59277
640	Victoria University	AUSTRALIA	59078
641	Universität Duisburg Essen	GERMANY	58967
642	Dublin City University	IRELAND	58658
643	Université des Sciences et Technologies Lille 1	FRANCE	58655
644	Università degli Studi di Udine	ITALY	58557
645	Universität des Saarlandes	GERMANY	58480
646	University of Kwazulu Natal	SOUTH AFRICA	58311
647	University of Denver	USA	58257
648	University of the Witwatersrand	SOUTH AFRICA	58155
649	University of Toledo	USA	58093
650	Universidade de Lisboa	PORTUGAL	58048
651	Stevens Institute of Technology	USA	57999
652	Università degli Studi di Messina	ITALY	57145
653	University of Stirling	UNITED KINGDOM	57051
654	Montana State University	USA	57013
655	Università degli Studi del Piemonte Orientale Amedeo Avogadro	ITALY	56976
656	Universität Hannover	GERMANY	56806
657	King Fahd University of Petroleum & Minerals	SAUDI ARABIA	56734
658	University of New England Australia	AUSTRALIA	56697
659	Istanbul Technical University / İstanbul Teknik Üniversitesi	TURKEY	56627
660	Universidad Politécnica de Madrid	SPAIN	56604
661	University of Johannesburg	SOUTH AFRICA	56499
662	Ajou University / 아주대학교	SOUTH KOREA	56348
663	Shenzhen University / 深圳大学	CHINA	56221
664	École Normale Supérieure Cachan	FRANCE	56199
665	Warsaw University of Technology / Politechnika Warszawska	POLAND	56170
666	University of Szeged / Szegedi Tudományegyetem SZTE	HUNGARY	56142
667	Universidade de Vigo	SPAIN	56131
668	Universiti Teknologi Malaysia	MALAYSIA	56083
669	University of Portsmouth	UNITED KINGDOM	56066
670	Sejong University / 세종대학교	SOUTH KOREA	55808
671	Keele University	UNITED KINGDOM	55726
672	California State University Fullerton	USA	55702
673	Universidad de Zaragoza	SPAIN	55696
674	Università della Svizzera Italiana Lugano	SWITZERLAND	55512
675	Otto Von Guericke Universität Magdeburg	GERMANY	55408
676	University of Canberra	AUSTRALIA	55048
677	University of Yamanashi / 山梨大学	JAPAN	54913
678	Ocean University of China / 中国海洋大学	CHINA	54846
679	Santa Clara University	USA	54808
680	Universidade de Brasília UNB	BRAZIL	54721
681	University of Cyprus	CYPRUS	54655
682	University of Alabama Huntsville	USA	54422
683	Norwegian University of Life Sciences / Norges miljø- og biovitenskapelige universitet	NORWAY	54417
684	University of the West of England	UNITED KINGDOM	54085
685	University of Ljubljana / Univerza v Ljubljani	SLOVENIA	54083
686	University of Nevada Reno	USA	54064
687	Bilkent University	TURKEY	54039
688	University of Wolverhampton	UNITED KINGDOM	53818
689	Keio University / 慶応義塾大学	JAPAN	53362
690	Universidad Técnica Federico Santa María	CHILE	53181
691	American University Washington DC	USA	53132
692	Semmelweis University Budapest / Semmelweis Egyetem SE	HUNGARY	53002
693	State University of New York Upstate Medical University	USA	52859
694	Tata Institute of Fundamental Research	INDIA	52687
695	Budapest University of Technology and Economics / Budapesti Műszaki és Gazdaságtudományi Egyetem BME	HUNGARY	52515
696	Murdoch University	AUSTRALIA	52352
697	Universidad de Puerto Rico	PUERTO RICO	52291
698	École Nationale Supérieure des Telecommunications (Telecom ParisTech)	FRANCE	52137
699	Texas A&M University Galveston	USA	52044
700	Florida Institute of Technology	USA	52042
701	Edith Cowan University	AUSTRALIA	51794
702	Universitat d'Alacant / Universidad de Alicante	SPAIN	51739
703	Bowling Green State University	USA	51736
704	University of Tsukuba / 筑波大学	JAPAN	51595
705	Clark University	USA	51546
706	Fordham University	USA	51264
707	École Supérieure d'Electricite SUPELEC	FRANCE	51136
708	Naval Postgraduate School	USA	51112
709	Kobe University / 神戸大学	JAPAN	51066
710	Institut Eurecom École d'Ingénieurs en Systemes de Communication	FRANCE	50940
711	Louisiana Tech University	USA	50877
712	Carl Von Ossietzky Universität Oldenburg	GERMANY	50750
713	Yuan Ze University	TAIWAN	50645
714	Université de Montpellier	FRANCE	50576
715	Universitat Jaume I	SPAIN	50553
716	Jawaharlal Nehru Centre for Advanced Scientific Research	INDIA	50415
717	Northwestern Polytechnical University / 西北工业大学	CHINA	49916
718	Università degli Studi di Urbino Carlo Bo	ITALY	49743
719	University of South Alabama	USA	49732
720	University of Turku / Turun yliopisto	FINLAND	49563
721	Tampere University of Technology / Tampereen teknillinen yliopisto	FINLAND	49551
722	North Carolina Agricultural & Technical State University	USA	49490
723	Politecnico di Torino	ITALY	49412
724	University of Missouri Saint Louis	USA	49176
725	Mines ParisTech École des Mines de Paris	FRANCE	49098
726	Southern Illinois University	USA	49094
727	Erciyes University	TURKEY	49061
728	Koç University	TURKEY	48848
729	Indian Institute of Technology Kanpur	INDIA	48834
730	University of Haifa	ISRAEL	48767
731	Universität zu Lubeck	GERMANY	48667
732	Università degli Studi di Cagliari	ITALY	48487
733	University of Louisiana at Lafayette	USA	48381
734	University of Limerick	IRELAND	48357
735	Universität Saint Gallen	SWITZERLAND	48237
736	East Carolina University	USA	48206
737	Technical University of Crete	GREECE	48201
738	University of Electro-Communications / 電気通信大学	JAPAN	48172
739	Universitat de Girona	SPAIN	48149
740	Belarusian State University / Белорусский государственный университет	BELARUS	48113
741	Università degli Studi di Camerino	ITALY	48108
742	California Polytechnic State University Cal Poly	USA	47871
743	Orebro University / Örebro Universitet	SWEDEN	47786
743	University of Bradford	UNITED KINGDOM	47786
745	Dongguk University / 동국대학교	SOUTH KOREA	47711
746	Universidad de Castilla la Mancha	SPAIN	47689
747	Georgia Southern University	USA	47615
748	University of Eastern Finland / Itä-Suomen yliopisto	FINLAND	47566
749	University of Massachusetts Dartmouth	USA	47505
750	University of Tampere / Tampereen yliopisto	FINLAND	47348
751	National Taiwan Ocean University	TAIWAN	47232
752	Swedish School of Economics and Business Administration / Hanken Svenska handelshögskolan	FINLAND	47138
753	North Dakota State University	USA	47132
754	Maynooth University (National University of Ireland Maynooth)	IRELAND	47014
755	University of Southern Queensland	AUSTRALIA	46961
756	Grenoble Institute of Technology Institut polytechnique de Grenoble	FRANCE	46868
757	Universiti Kebangsaan Malaysia / National University of Malaysia	MALAYSIA	46664
758	Cranfield University	UNITED KINGDOM	46642
759	University of Massachusetts Boston	USA	46200
760	Universidade Federal de São Carlos	BRAZIL	46011
761	Institut d'Optique Graduate School	FRANCE	45968
762	Universidad de Salamanca	SPAIN	45849
763	Beijing University of Chemical Technology / 北京化工大学	CHINA	45821
764	Universität Osnabruck	GERMANY	45793
765	Université Denis Diderot Paris 7	FRANCE	45261
766	Technische Universität Clausthal	GERMANY	45195
767	Czech Technical University in Prague / České Vysoké Učení Technické v Praze	CEZCH REPUBLIC	45191
767	Technische Universität Dortmund	GERMANY	45191
769	Universidade Federal de Santa Catarina UFSC	BRAZIL	45058
770	University of Delhi	INDIA	45022
771	Chungnam National University / 충남대학교	SOUTH KOREA	45013
772	Universidad de Murcia	SPAIN	44899
773	Università degli Studi di Catania	ITALY	44725
774	Institut National des Sciences Appliquées de Lyon	FRANCE	44710
775	San Francisco State University	USA	44699
776	Nanjing Normal University / 南京师范大学	CHINA	44577
777	Martin Luther Universität Halle Wittenberg	GERMANY	44452
778	University of Plymouth	UNITED KINGDOM	44260
779	Université de Mons (Université de Mons-Hainaut)	BELGIUM	44117
780	Alpen Adria Universität Klagenfurt	AUSTRIA	44037
781	Università degli Studi di Sassari	ITALY	43960
782	École de Technologie Supérieure	CANADA	43886
783	Chongqing University / 重庆大学	CHINA	43877
784	Villanova University	USA	43559
785	University of Tehran	IRAN	43395
786	Universität Bayreuth	GERMANY	43307
787	Universidad de Las Palmas de Gran Canaria	SPAIN	43301
788	Saint George's University of London	UNITED KINGDOM	43253
789	University of Seoul / 서울시립대학교	SOUTH KOREA	43036
790	University of Hertfordshire	UNITED KINGDOM	43001
791	Loyola University Chicago	USA	42996
792	Jawaharlal Nehru University	INDIA	42954
793	Universitat de les Illes Balears	SPAIN	42944
794	Technische Universität Kaiserslautern	GERMANY	42730
795	Medizinische Hochschule Hannover	GERMANY	42729
796	Universidad de Cantabria	SPAIN	42681
797	Universidad de Extremadura	SPAIN	42667
798	Universidade Federal do Paraná	BRAZIL	42421
799	Universidade Federal de Pelotas UFPEL	BRAZIL	42323
800	Jiangsu University / 江苏大学	CHINA	42261
801	Lomonosov Moscow State University / Московский государственный университет М В Ломоносова	RUSSIA	42138
802	Zewail City of Science and Technology	EGYPT	42084
803	Yokohama National University / 横浜国立大学	JAPAN	41872
804	Renmin University of China / 中国人民大学	CHINA	41847
805	Universidade Federal de Viçosa UFV	BRAZIL	41645
806	Universidad de Córdoba	SPAIN	41567
807	Università del Salento (Università degli Studi di Lecce)	ITALY	41429
808	Universidade Federal de Santa Maria UFSM	BRAZIL	41196
809	Wirtschaftsuniversität Wien / Vienna University of Economics and Business	AUSTRIA	41053
810	Athens University of Economics and Business	GREECE	41000
811	New Mexico State University	USA	40960
812	Tokyo University of Science / 東京理科大学	JAPAN	40896
813	Université de Bourgogne	FRANCE	40867
814	Western Michigan University	USA	40771
815	Hasselt University / Universiteit Hasselt (University of Limburg)	BELGIUM	40696
816	Hefei University of Technology / 合肥工业大学	CHINA	40622
817	South Dakota State University	USA	40555
818	National Chengchi University	TAIWAN	40536
819	Ryerson University	CANADA	40411
820	Scuola Superiore di Studi Universitari e di Perfezionamento Sant'Anna (SSSUP) di Pisa	ITALY	40287
821	Università degli Studi Gabriele d'Annunzio Chieti e Pescara	ITALY	40213
822	Oxford Brookes University	UNITED KINGDOM	40103
823	Liverpool John Moores University	UNITED KINGDOM	40088
824	Chulalongkorn University	THAILAND	40030
825	Universidad Nacional de la Plata	ARGENTINA	39903
826	United Nations University (国際連合大学)	JAPAN	39817
827	Universität Rostock	GERMANY	39802
828	Royal College of Surgeons of Ireland	IRELAND	39788
829	Libera università di Bolzano / Freie Universität Bozen / Free University of Bozen	ITALY	39733
830	Universität Siegen	GERMANY	39708
831	Hiroshima University / 広島大学	JAPAN	39643
832	École Nationale de la Statistique et de l'Administration Économique	FRANCE	39457
833	Southern Cross University	AUSTRALIA	39189
834	University of Ioannina	GREECE	39146
835	Kanazawa University / 金沢大学	JAPAN	39103
836	Cleveland State University	USA	39069
837	Nicolaus Copernicus University / Uniwersytet Mikołaja Kopernika w Toruniu	POLAND	38908
838	Boise State University	USA	38844
839	Illinois State University	USA	38791
840	Open University / Open Universiteit Netherlands	NETHERLANDS	38642
841	Universität Hohenheim	GERMANY	38629
842	Poznan University of Technology / Politechnika Poznańska	POLAND	38462
843	Leuphana Universität Lüneburg	GERMANY	38366
844	Masaryk University in Brno / Masarykova Univerzita v Brně	CEZCH REPUBLIC	38225
845	Taiyuan University of Technology / 太原理工大学	CHINA	38221
846	University of Pannonia (University of Veszprem) / Pannon Egyetem	HUNGARY	38070
847	Roehampton University	UNITED KINGDOM	38054
848	Universidad de Navarra	SPAIN	38014
849	University of Karlstad / Karlstads Universitet	SWEDEN	37956
850	Università degli Studi della Tuscia	ITALY	37921
851	Université de Bretagne Occidentale	FRANCE	37800
852	Institute of Chemical Technology	INDIA	37794
853	Interdisciplinary Center Herzliya	ISRAEL	37791
854	Lincoln University	UNITED KINGDOM	37763
855	American University of Beirut	LEBANON	37514
856	Trent University	CANADA	37484
857	Universidade Estadual de Maringá	BRAZIL	37444
858	Universidade Federal de Pernambuco	BRAZIL	37435
859	Lakehead University	CANADA	37430
859	Indian Institute of Technology Roorkee	INDIA	37430
861	Southwest University China / 西南大学	CHINA	37400
862	Universidad de Valladolid	SPAIN	37265
863	University of Westminster	UNITED KINGDOM	37218
864	University of Greenwich	UNITED KINGDOM	37071
865	Kookmin University / 국민대학교	SOUTH KOREA	37007
866	Isfahan University of Technology	IRAN	36976
867	Mahidol University	THAILAND	36948
868	Western Kentucky University	USA	36882
869	Kennesaw State University	USA	36872
870	Qatar University	QATAR	36870
871	University of the West Indies	JAMAICA	36797
872	Université de Neuchâtel	SWITZERLAND	36754
873	Université de Poitiers	FRANCE	36691
874	Universidad Carlos III de Madrid	SPAIN	36658
875	Universität Kassel	GERMANY	36568
876	Charles University in Prague / Univerzita Karlova v Praze	CEZCH REPUBLIC	36543
877	Middle East Technical University / Orta Doğu Teknik Üniversitesi	TURKEY	36521
878	Morehouse School of Medicine	USA	36513
879	Pontificia Universidade Católica do Rio Grande do Sul PUCRS	BRAZIL	36345
880	Banaras Hindu University	INDIA	36284
881	University of Jordan	JORDAN	35936
882	Charles Darwin University	AUSTRALIA	35829
883	Roskilde University / Roskilde Universitet	DENMARK	35666
884	Universiti Putra Malaysia	MALAYSIA	35662
885	South China Agricultural University / 华南农业大学	CHINA	35654
886	Wesleyan University	USA	35596
887	Università degli Studi dell'Aquila	ITALY	35568
888	Charles Sturt University	AUSTRALIA	35469
889	Northern Illinois University	USA	35344
890	Universidad de Jaén	SPAIN	35273
891	Sabanci University	TURKEY	35099
892	Aga Khan University	PAKISTAN	35082
893	Universidad de Alcalá	SPAIN	34950
894	Minufiya University	EGYPT	34940
895	Middlesex University	UNITED KINGDOM	34898
896	Universidad Rey Juan Carlos	SPAIN	34888
897	Universität Salzburg	AUSTRIA	34856
898	Royal Veterinary College University of London	UNITED KINGDOM	34828
899	Université de Namur	BELGIUM	34634
900	California State University Long Beach	USA	34498
901	Catholic University of America	USA	34433
902	University of Thessaly	GREECE	34371
903	Huazhong (Central China) Agriculture University / 华中农业大学	CHINA	34366
904	Universidad Nacional de Córdoba	ARGENTINA	34336
905	Tokyo Women's Medical University / 東京女子医科大学	JAPAN	34328
906	Universität Paderborn	GERMANY	34259
907	Fundação Getulio Vargas FGV	BRAZIL	34224
908	Chonbuk National University (Iksan National College) / 전북대학교	SOUTH KOREA	34211
909	Istanbul University	TURKEY	34102
910	Amity University	INDIA	33983
911	Universidade Federal de Goiás UFG	BRAZIL	33872
912	Glasgow Caledonian University	UNITED KINGDOM	33790
913	Michigan Technological University	USA	33787
914	International Islamic University of Malaysia	MALAYSIA	33780
915	Brock University	CANADA	33737
916	Texas Christian University	USA	33541
917	State University of New York Downstate Medical Center Brooklyn	USA	33458
918	Singapore University of Technology and Design	SINGAPORE	33257
919	University of Hyogo (Himeji Institute of Technology) / 兵庫県立大学	JAPAN	33244
920	Pukyong National University / 부경대학교	SOUTH KOREA	33206
921	Nova Southeastern University	USA	33204
922	Kumamoto University / 熊本大学	JAPAN	33197
922	Idaho State University	USA	33197
924	Universidad Nacional de Educación a Distancia UNED	SPAIN	33196
925	Jacobs University Bremen	GERMANY	33189
926	University of New Orleans	USA	33146
927	Sam Houston State University	USA	33144
928	Wilfrid Laurier University	CANADA	33104
929	Pontificia Universidade Católica do Rio de Janeiro PUC-RIO	BRAZIL	33081
930	Universidade Federal da Bahia	BRAZIL	33032
931	Western Washington University	USA	32963
932	Universidad de Costa Rica	COSTA RICA	32937
933	Ernst Moritz Arndt Universität Greifswald	GERMANY	32878
934	National Research University Higher School of Economics / Национальный исследовательский университет Высшая школа экономики	RUSSIA	32816
935	Universidad de La Laguna	SPAIN	32808
936	Sultan Qaboos University	OMAN	32787
937	Wellesley College	USA	32721
938	Yangzhou University / 扬州大学	CHINA	32711
939	Desert Research Institute	USA	32697
940	University of Pécs / Pécsi Tudományegyetem PTE	HUNGARY	32626
941	Universidad Pública de Navarra	SPAIN	32615
942	Hacettepe University	TURKEY	32609
943	Williams College	USA	32583
944	Jagiellonian University / Uniwersytet Jagielloński	POLAND	32576
945	California State University Fresno	USA	32441
946	University of Richmond	USA	32430
947	Shanghai Ocean University (Shanghai Fisheries University) / 上海海洋大学	CHINA	32392
948	University of Salford	UNITED KINGDOM	32361
949	University of Rijeka	CROATIA	32253
950	Bentley University	USA	32230
951	Central Michigan University	USA	32154
952	École des Hautes Etudes Commerciales de Paris HEC	FRANCE	32111
953	University of Toyama / 富山大学	JAPAN	32103
954	Federation University Australia	AUSTRALIA	32057
955	Bournemouth University	UNITED KINGDOM	31989
956	Doshisha University / 同志社大学	JAPAN	31976
957	Nottingham Trent University	UNITED KINGDOM	31964
958	Indian Institute of Technology Guwahati	INDIA	31821
959	Wroclaw University / Uniwersytet Wrocławski	POLAND	31797
960	Kwangwoon University / 광운대학교	SOUTH KOREA	31778
961	Fuzhou University / 福州大学	CHINA	31760
962	University of the Sunshine Coast	AUSTRALIA	31707
963	Polytechnic Institute of New York University	USA	31633
964	Weber State University	USA	31607
965	Universität fur Bodenkultur Wien	AUSTRIA	31527
966	Khalifa University	ARAB EMIRATES	31488
967	University of Hyderabad	INDIA	31332
968	Università Ca' Foscari di Venezia	ITALY	31319
969	James Madison University	USA	31300
970	Universidade Federal do Rio Grande do Norte	BRAZIL	31292
971	Ankara University	TURKEY	31197
972	University of Belgrade / Универзитет у Београду / Univerzitet u Beogradu	SERBIA	31027
973	Università degli Studi di Bergamo	ITALY	31019
974	Universidade Federal da Paraíba UFPB	BRAZIL	30915
975	Toyota Technological Institute Chicago	USA	30886
976	China University of Geosciences / 中国地质大学	CHINA	30823
977	Karl Franzens Universität Graz	AUSTRIA	30790
978	Rhodes University	SOUTH AFRICA	30776
979	University of Ontario Institute of Technology	CANADA	30773
980	ESSEC Business School	FRANCE	30737
981	PRES Université Paris Est	FRANCE	30712
982	Central European University Budapest / Közép-európai Egyetem	USA	30696
983	École Centrale Paris	FRANCE	30650
984	Reykjavik University / Háskólinn í Reykjavík	ICELAND	30559
985	Collège de France	FRANCE	30551
986	Osaka Prefecture University / 大阪府立大学	JAPAN	30475
987	Loma Linda University	USA	30349
988	Kingston University London	UNITED KINGDOM	30150
989	Università degli Studi del Sannio	ITALY	30118
990	Indian Institute of Technology (Banaras Hindu University) Varanasi	INDIA	30111
991	University of Tulsa	USA	30085
992	Northeast Normal University / 东北师范大学	CHINA	29956
993	University of Agriculture Faisalabad	PAKISTAN	29800
994	New School	USA	29765
995	Linnaeus University / Linnéuniversitetet (Växjö + Kalmar Universities)	SWEDEN	29664
996	Universidad Pablo de Olavide	SPAIN	29650
997	Universidade do Algarve	PORTUGAL	29523
998	Duquesne University	USA	29482
999	Juntendo University / 順天堂大学	JAPAN	29481
1000	University of Arkansas Little Rock	USA	29444
1001	Third Military Medical University / 第三军医大学	CHINA	29423
1002	Florida Gulf Coast University	USA	29407
1003	Pontificia Universidade Católica do Paraná PUCPR	BRAZIL	29372
1004	Universidad de los Andes Colombia	COLOMBIA	29359
1005	Amirkabir University of Technology	IRAN	29215
1006	Université de Tours François Rabelais	FRANCE	29121
1007	University of Stavanger / Universitetet i Stavanger	NORWAY	29094
1007	Grand Valley State University	USA	29094
1009	National Chung Cheng University	TAIWAN	29076
1010	University of Zagreb	CROATIA	29066
1011	National Institute of Pharmaceutical Education and Research	INDIA	29020
1012	University of Agder / Universitetet i Agder	NORWAY	28975
1013	Dublin Institute of Technology	IRELAND	28905
1014	Université Clermont-Ferrand 2 Blaise Pascal	FRANCE	28896
1014	Kuwait University	KIWAIT	28896
1016	Jamia Hamdard	INDIA	28888
1017	Université de Perpignan Via Domitia	FRANCE	28836
1018	Technische Universität Chemnitz	GERMANY	28827
1019	Lulea University of Technology / Luleå tekniska Universitet	SWEDEN	28736
1020	Università Campus Bio Medico di Roma	ITALY	28733
1021	Chung Ang University / 중앙대학교	SOUTH KOREA	28676
1022	Sharif University of Technology Tehran	IRAN	28566
1023	Dokuz Eylül University	TURKEY	28485
1024	Rowan University	USA	28414
1025	Smith College	USA	28409
1026	Bucknell University	USA	28399
1027	National Yang Ming University	TAIWAN	28329
1028	Korea Institute for Advanced Study / 고등과학원	SOUTH KOREA	28309
1029	VIT University (Vellore Institute of Technology)	INDIA	28291
1030	Saint Mary's University	CANADA	28277
1031	Tokyo University of Agriculture and Technology / 東京農工大学	JAPAN	28195
1032	Tunghai University	TAIWAN	28116
1033	Chapman University	USA	28019
1034	University of North Dakota	USA	28008
1035	Universidade Federal do Ceará	BRAZIL	27924
1036	Universidad de Concepción	CHILE	27891
1037	King Saud University	SAUDI ARABIA	27799
1038	Wroclaw University of Technology / Politechnika Wrocławska	POLAND	27793
1039	Universidade Federal Fluminense	BRAZIL	27771
1040	Université de Franche Comté	FRANCE	27711
1041	Tarbiat Modares University	IRAN	27699
1042	Creighton University	USA	27670
1043	École des Hautes Études en Sciences Sociales	FRANCE	27625
1044	Université Paris 9 Dauphine	FRANCE	27524
1045	University of North Texas Health Science Center	USA	27492
1046	Adelphi University	USA	27384
1047	Lamar University	USA	27358
1048	Niigata University / 新潟大学	JAPAN	27313
1049	Norwegian School of Economics / Norges Handelshøyskole	NORWAY	27209
1050	University of Colorado Colorado Springs	USA	27150
1051	Northeast Ohio Medical University NEOMED	USA	27147
1052	Université Toulouse 1 Capitole (Sciences Sociales)	FRANCE	27061
1053	National University of Kaohsiung	TAIWAN	27002
1054	University of Dayton	USA	26985
1055	Stockholm School of Economics / Handelshögskolan i Stockholm	SWEDEN	26981
1056	Universidad Simón Bolívar Venezuela	VENEZUELA	26900
1057	Anna University	INDIA	26889
1058	Fondazione Edmund Mach di San Michele all'Adige (Istituto Agrario)	ITALY	26879
1059	Morgan State University	USA	26702
1060	University of Southern Mississippi	USA	26697
1061	Marquette University	USA	26675
1062	Cairo University	EGYPT	26579
1063	Jackson State University	USA	26574
1064	Gifu University / 岐阜大学	JAPAN	26544
1065	Universität Passau	GERMANY	26456
1066	Kyushu Institute of Technology / 九州工業大学	JAPAN	26386
1067	Nazarbayev University	KAZAKHSTAN	26382
1068	Southern Illinois University Edwardsville	USA	26341
1069	Università degli Studi del Molise	ITALY	26257
1070	American University of Sharjah	ARAB EMIRATES	26195
1071	Okinawa Institute of Science & Technology Graduate University / 沖縄科学技術大学院大学	JAPAN	26105
1072	De Montfort University	UNITED KINGDOM	26058
1073	San José State University	USA	26052
1074	Coventry University	UNITED KINGDOM	26023
1075	Huazhong (Central China) Normal University / 华中师范大学	CHINA	25812
1076	Loyola Marymount University	USA	25808
1077	Pace University	USA	25733
1078	Indian Agricultural Research Institute	INDIA	25656
1079	IT University of Copenhagen / IT-Universitetet i København	DENMARK	25536
1080	Suffolk University	USA	25505
1081	University of Maribor / Univerza v Mariboru	SLOVENIA	25489
1082	University of Bedfordshire	UNITED KINGDOM	25330
1083	National University of Defense Technology (National Defense University) / 国防科学技术大学 (国防科技大学)	CHINA	25268
1084	Rollins College	USA	25254
1085	University of Brighton	UNITED KINGDOM	25230
1086	Università degli Studi della Basilicata	ITALY	25121
1087	Université Paris 1 Panthéon Sorbonne	FRANCE	25029
1088	Lincoln University Canterbury	NEW ZEALAND	24966
1089	Zhejiang University of Sciences / 浙江理工大学	CHINA	24956
1090	Bergische Universität Wuppertal	GERMANY	24928
1091	Institute for Water Education UNESCO	NETHERLANDS	24908
1092	California Polytechnic State University Cal Poly Pomona	USA	24895
1093	Universidade Presbiteriana Mackenzie	BRAZIL	24811
1094	Université de Technologie de Compiegne	FRANCE	24772
1095	École Centrale de Nantes	FRANCE	24625
1096	University of Nairobi	KENYA	24577
1097	United States Naval Academy	USA	24508
1098	Pontificia Universidade Católica de São Paulo PUC-SP	BRAZIL	24474
1099	Gazi University	TURKEY	24425
1100	United Arab Emirates University	ARAB EMIRATES	24359
1101	Medical University of Warsaw / Warszawski Uniwersytet Medyczny	POLAND	24327
1102	Montclair State University	USA	24274
1103	University of Chinese Academy of Sciences / 中国科学院大学	CHINA	24259
1104	Marshall University	USA	24256
1105	Comenius University in Bratislava / Univerzita Komenského v Bratislave	SLOVAKIA	24217
1106	ISCTE Instituto Universitário de Lisboa	PORTUGAL	24167
1107	Colgate University	USA	24068
1108	Università degli Studi di Teramo	ITALY	23965
1109	Universidade Federal do Pará UFPA	BRAZIL	23935
1110	Nagasaki University / 長崎大学	JAPAN	23931
1111	China University of Geoscience Beijing / 中国地质大学 (北京)	CHINA	23900
1112	Isfahan University of Medical Sciences	IRAN	23843
1113	Bond University	AUSTRALIA	23817
1114	École Centrale de Lille	FRANCE	23804
1115	California State University Northridge	USA	23766
1116	Universidad de la República	URUGUAY	23740
1117	University of Central Lancashire	UNITED KINGDOM	23693
1118	Beijing Forestry University / 北京林业大学	CHINA	23689
1119	University of East London	UNITED KINGDOM	23673
1120	Nagoya Institute of Technology / 名古屋工業大学	JAPAN	23654
1121	University of Piraeus	GREECE	23641
1122	University of North Florida	USA	23614
1123	China Jiliang University / 中国计量学院	CHINA	23531
1124	North West University	SOUTH AFRICA	23501
1125	Mälardalen University / Mälardalens Högskola	SWEDEN	23338
1126	Technische Universität Ilmenau	GERMANY	23311
1127	Universidad Torcuato di Tella	ARGENTINA	23288
1128	Middle Tennessee State University	USA	23286
1129	Nottingham University Ningbo China / 宁波诺丁汉大学	CHINA	23221
1130	University of Nebraska Omaha	USA	22991
1131	University of South Dakota	USA	22901
1132	Özyeğin University	TURKEY	22900
1133	Universidade da Coruña	SPAIN	22896
1134	Bharathiar University Coimbatore	INDIA	22833
1135	Ritsumeikan University / 立命館大学	JAPAN	22817
1136	Technische Universität Hamburg Harburg	GERMANY	22802
1137	Institute of Tropical Medicine Antwerp	BELGIUM	22751
1138	Universidade Estadual de Londrina	BRAZIL	22744
1139	Japan Advanced Institute of Science & Technology / 北陸先端科学技術大学院大学	JAPAN	22725
1140	École Centrale de Lyon	FRANCE	22708
1141	Université Paris 13	FRANCE	22680
1142	Chang Gung University	TAIWAN	22658
1143	South China Normal University / 华南师范大学	CHINA	22552
1144	King Abdulaziz University	SAUDI ARABIA	22528
1145	Instituto Tecnológico de Aeronáutica ITA	BRAZIL	22503
1146	Universidad Autónoma Metropolitana	MEXICO	22466
1147	Lappeenranta University of Technology / Lappeenrannan teknillinen yliopisto	FINLAND	22403
1148	Université du Québec Outaouais	CANADA	22384
1149	Harbin Engineering University / 哈尔滨工程大学	CHINA	22352
1150	University of the Aegean	GREECE	22318
1151	Universidad de Almería	SPAIN	22312
1152	Université de Cergy Pontoise	FRANCE	22257
1153	American University in Cairo	EGYPT	22231
1154	Lewis & Clark College	USA	22223
1155	École Nationale des Ponts et Chaussees	FRANCE	22220
1156	Democritus University of Thrace	GREECE	22198
1157	National Chi Nan University	TAIWAN	22186
1158	Konkuk University / 건국대학교	SOUTH KOREA	22163
1159	University of Incheon / 인천대학교	SOUTH KOREA	22155
1160	University of Aizu / 会津大学	JAPAN	22146
